route_id,route_name,route_type,stop_id,stop_name,latitude,longitude,vehicle_id,trip_id,timestamp,speed_kmh,eta_next_stop,occupancy_level,status,delay_seconds
14784755,L31 Sidi Maârouf(Ouled Haddou)-Place Sraghna,bus,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_5907,trip_9506,6/24/2025 8:00,26.9,6/24/2025 8:10,low,on_time,-170
14867027,L600 Place Al Hamed-Place Sidi Maarouf,bus,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_5575,trip_9888,6/24/2025 8:15,41.3,6/24/2025 8:26,medium,on_time,688
18086821,T3: Gare de Casa-Port>Hay El Wahda,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_6367,trip_6569,6/24/2025 8:30,49.8,6/24/2025 8:34,medium,on_time,678
18086822,T3: Hay El Wahda>Gare de Casa-Port,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_9376,trip_7790,6/24/2025 8:45,5.2,6/24/2025 8:49,medium,early,727
14784755,L31 Sidi Maârouf(Ouled Haddou)-Place Sraghna,bus,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_4405,trip_6170,6/24/2025 9:00,6.1,6/24/2025 9:08,low,delayed,-106
14867027,L600 Place Al Hamed-Place Sidi Maarouf,bus,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_1859,trip_9498,6/24/2025 9:15,37.2,6/24/2025 9:21,low,early,-262
18086821,T3: Gare de Casa-Port>Hay El Wahda,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_6645,trip_5499,6/24/2025 9:30,24.1,6/24/2025 9:35,low,early,77
18086822,T3: Hay El Wahda>Gare de Casa-Port,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_8693,trip_8299,6/24/2025 9:45,29.9,6/24/2025 9:50,low,on_time,-44
14867027,L600 Place Al Hamed-Place Sidi Maarouf,bus,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_8770,trip_9748,6/24/2025 10:00,10.8,6/24/2025 10:06,low,delayed,-93
18086821,T3: Gare de Casa-Port>Hay El Wahda,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_3707,trip_5775,6/24/2025 10:15,44.2,6/25/2025 10:06,medium,delayed,733
18086822,T3: Hay El Wahda>Gare de Casa-Port,tram,21038927,Marjane Drissia M6,33.5618694,-7.5946468,veh_8423,trip_5318,6/24/2025 10:30,31.5,6/26/2025 10:06,high,early,619
6281643,L33 Place Concorde - Anassi,bus,21045074,Usine de Thé,33.6013266,-7.5161146,veh_3619,trip_7472,6/24/2025 10:45,16.4,6/27/2025 10:06,medium,early,-268
