route_id,route_name
4497427,T1: Sidi Moumen > Lissasfa
5762251,L6 Place Marchal - Mekanssa
6256526,L7 Place Marchal - Sidi Marouf
6256719,L9E BD. Houphout Boigny - Ennassim
6268217,L5 Gare Casa Port-Terminus Riad El Oulfa 3
6268421,L20 Gare Routiere - Riad Oulfa
6270288,L306 Marif-Lakhiaita
6270382,L72 Salmia 2 Terminus - Sidi Al Khadir
6278180,L67 Moulay Youssef(Hpital Sofi) - Ouad Dahab
6281535,L60 Moulay Youssef(Hpital Sofi) - Jamila
6281796,L63 Salmia 2 Terminus - Sidi Al Khadir
6283392,L22 Place Marchal - Mandarouna
6287182,L97 Anassi - Marif
6287399,L97B Facult Ben M'Sick - Lissasfa
6289070,L301 Hay Hassani-Fouala
6292188,L300 Quartier Hpitaux - Bouskoura
6292331,L143 Ferara - Tacharouk
6292387,L107 Tacharouk - Lissasfa
6294768,Ligne 150: Moulay Thami - Hay Hassani T2
6296033,L38 Hay El Falah - El Hank
6296908,L84 Farah Salam - BD. Houphout Boigny
6852610,T1: Lissasfa > Sidi Moumen
7432397,L72 Sidi Al Khadir - Salmia 2 Terminus
7433132,L67 Ouad Dahab - Moulay Youssef(Hpital Sofi)
7433169,L97B Lissasfa - Facult Ben M'Sick
7433257,L97 Marif - Anassi
7433385,L63 Sidi Al Khadir - Salmia 2 Terminus
7433635,L6 Mekanssa - Place Marchal
7440698,L20 Riad Oulfa - Gare Routiere
7455587,L7 Sidi Marouf - Place Marchal
7458098,L9E Nassim - BD. Houphout Boigny
7459596,L5 Terminus Riad El Oulfa 3-Gare Casa Port
7460155,L22 Mandarouna - Place Marchal
7461278,L38 El Hank - Hay El Falah
7465467,L60 Jamila - Moulay Youssef(Hpital Sofi)
7467650,L306 Lakhiaita-Marif
7468727,L107 Lissasfa - Tacharouk
7469243,L300 Bouskoura - Quartier Hpitaux
7469597,L301 Fouala - Hay Hassani
8122214,049 ::: Facults route d'El Jadida - Place de Sidi Maarouf
8275661,Tram 2: An Diab > Sidi Bernoussi
9518676,Tram 2: Sidi Bernoussi > An Diab
14780325,L19 Place Marchal - Terminus Riad El Oulfa 3
14780326,L19 Terminus Riad El Oulfa 3 - Place Marchal
14784754,L31 Place Sraghna - Sidi Marouf(Ouled Haddou)
14784755,L31 Sidi Marouf(Ouled Haddou)-Place Sraghna
14785414,L35 Place Marchal - Oulfa
14785884,L39 El Mzabiyne - G.R. Ouled Ziane
14785885,L39 G.R. Ouled Ziane-El Mzabiyne
14785923,L50 Errahma - C. Sidi Belyout
14785924,L50 C. Sidi Belyout-Errahma
14786084,L51 G. R. Ouled Ziane-Errahma
14786085,L51 Errahma-G. R. Ouled Ziane
14866500,L604 Place Sraghna-Al Hamd
14866501,L604 Al Hamd-Place Sraghna
14867026,L600 Place Sidi Maarouf -Place Al Hamed
14867027,L600 Place Al Hamed-Place Sidi Maarouf
14873787,L143 Tacharouk-Ferara
14885633,L68 Ouled Mellouk-Hay Salam
14885634,L68 Hay Salam-Ouled Mellouk
14885803,L79 Place Sraghna-Sidi Moumen
14885804,L79 Sidi Moumen-Place Sraghna
14889095,L84 BD. Houphout Boigny-Farah Salam
14935305,L307 Lissasfa - Victoria
14935306,L307 Victoria-Lissasfa
14935993,L309 Marif (Bachkou) - Bouskoura (Andalous)
14935994,L309 Bouskoura (Andalous)-Marif (Bachkou)
14940037,L109 Gare Routire Ouled Ziane-Hay Zoubir
14940038,L109 Hay Zoubir-Gare Routire Ouled Ziane
14942770,L13 Sidi Belyout (Bd d'Anfa)-Terminus Kasbat Al amine
14942771,L13 Terminus Kasbat Al amine-Sidi Belyout (Bd d'Anfa)
18041838,BW1 Salmia 2-Omar Al Khayam
18041839,BW1 Omar Al Khayam-Salmia 2
18056193,BW2 Ouled Azzouz-Oulms
18056194,BW2 Oulms-Ouled Azzouz
18093849,L310 Place Sraghna - Oulad Salah
18093850,L310 Oulad Salah-Place Sraghna
6262065,L62 Moulay Youssef(Hpital Sofi) - Lahraouienne
6262402,L40 Place Oued Al Makhazine - Tacharouk
6262519,L11 Daouliz - Mosque Salmia
6268493,L43 Hpital Sofi - Doha
6278638,L82 Sakani - Place Concorde
6281643,L33 Place Concorde - Anassi
6281772,L56 Oliverie - Tacharouk
6287029,L23 Cinma Rif - Mansouria
6288826,L900 Sidi Belyout - Rachidia
6289768,Ligne 25 : Mansouria - Place Marchal
6294886,L139 Marjane An Sba - Hpital Sofi
6297007,L90 Bernoussi - Muse Alsa
7440789,L40 Tacharouk - Place Oued Al Makhazine
7441424,L90 Muse Alsa - Bernoussi
7458143,L62 Lahraouienne - Moulay Youssef(Hpital Sofi)
7458168,L11 Mosque Salmia - Daouliz
7460897,L23 Mansouria - Cinma Rif
7461109,L33 Anassi - Place Concorde
7461643,L43 Doha - Hpital Sofi
7464856,L56 Tacharouk - Oliverie
7465664,L82 Place Concorde - Sakani
7468990,L139 Hpital Sofi - Marjane An Sba
7873503,L120 Oued Al Makhazine - Mediouna
7873504,L120 Mediouna - Oued Al Makhazine
8137224,L55 Ouled Mellouk - Moulay-Youssef
8137225,L55 Moulay-Youssef - Ouled Mellouk
14785415,L35 Oulfa-Place Marchal
14862298,L900 Rachidia-Sidi Belyout
18086821,T3: Gare de Casa-Port>Hay El Wahda
18086822,T3: Hay El Wahda>Gare de Casa-Port
18086823,T4: Mohammed Erradi- Parc de la Ligue Arabe
18086824,T4: Parc de la Ligue Arabe-Mohammed Erradi
6269903,L 312:Nouaceur-Sbata Jamila
