route_id	route_name	route_type	stop_id	stop_name	latitude	longitude	vehicle_id	trip_id	timestamp	speed_kmh	eta_next_stop	occupancy_level	status	delay_seconds
14784755	L31 Sidi Maârouf(Ouled Haddou)-Place Sraghna	bus	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_6606	trip_5063	7/1/2025 19:29	3.5	7/1/2025 19:31	medium	delayed	706
14867027	L600 Place Al Hamed-Place Sidi Maarouf	bus	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_9690	trip_7870	7/1/2025 19:02	40.8	7/1/2025 19:03	high	delayed	580
18086821	T3: Gare de Casa-Port>Hay El Wahda	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_7920	trip_9153	7/1/2025 19:35	5.9	7/1/2025 19:40	low	delayed	-221
18086822	T3: Hay El Wahda>Gare de Casa-Port	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_8195	trip_5547	7/1/2025 19:00	16	7/1/2025 19:10	high	delayed	-266
14784755	L31 Sidi Maârouf(Ouled Haddou)-Place Sraghna	bus	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_1531	trip_9485	7/1/2025 19:33	42.7	7/1/2025 19:48	medium	delayed	618
14867027	L600 Place Al Hamed-Place Sidi Maarouf	bus	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_9948	trip_6450	7/1/2025 19:13	7.8	7/1/2025 19:21	low	delayed	-51
18086821	T3: Gare de Casa-Port>Hay El Wahda	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_3180	trip_5072	7/1/2025 19:04	19.5	7/1/2025 19:10	low	early	-111
18086822	T3: Hay El Wahda>Gare de Casa-Port	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_5269	trip_9729	7/1/2025 19:18	17.8	7/1/2025 19:30	medium	on_time	828
14867027	L600 Place Al Hamed-Place Sidi Maarouf	bus	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_2310	trip_9920	7/1/2025 19:30	14.8	7/1/2025 19:35	low	delayed	246
18086821	T3: Gare de Casa-Port>Hay El Wahda	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_8160	trip_6640	7/1/2025 19:11	7.4	7/1/2025 19:12	medium	early	414
18086822	T3: Hay El Wahda>Gare de Casa-Port	tram	21038927	Marjane Drissia M6	33.5618694	-7.5946468	veh_5261	trip_7057	7/1/2025 19:15	2.7	7/1/2025 19:29	medium	on_time	242
